movie_id,movie_title,imdb_url,decade,genres
20,Angels and Insects (1995),http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),90s, drama romance
21,Muppet Treasure Island (1996),http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),90s, action adventure comedy musical thriller
22,Braveheart (1995),http://us.imdb.com/M/title-exact?Braveheart%20(1995),90s, action drama war
23,Taxi Driver (1976),http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),90s, drama thriller
24,Rumble in the Bronx (1995),http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995),90s, action adventure crime
25,"Birdcage, The (1996)","http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)",90s, comedy
26,"Brothers McMullen, The (1995)","http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)",90s, comedy
27,Bad Boys (1995),http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995),90s, action
28,Apollo 13 (1995),http://us.imdb.com/M/title-exact?Apollo%2013%20(1995),90s, action drama thriller
29,Batman Forever (1995),http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995),90s, action adventure comedy crime
30,Belle de jour (1967),http://us.imdb.com/M/title-exact?Belle%20de%20jour%20(1967),60s, drama
31,Crimson Tide (1995),http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995),90s, drama thriller war
32,Crumb (1994),http://us.imdb.com/M/title-exact?Crumb%20(1994),90s, documentary
33,Desperado (1995),http://us.imdb.com/M/title-exact?Desperado%20(1995),90s, action romance thriller
34,"Doom Generation, The (1995)","http://us.imdb.com/M/title-exact?Doom%20Generation,%20The%20(1995)",90s, comedy drama
35,Free Willy 2: The Adventure Home (1995),http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20(1995),90s, adventure childrens drama
36,Mad Love (1995),http://us.imdb.com/M/title-exact?Mad%20Love%20(1995),90s, drama romance
37,Nadja (1994),http://us.imdb.com/M/title-exact?Nadja%20(1994),90s, drama
38,"Net, The (1995)","http://us.imdb.com/M/title-exact?Net,%20The%20(1995)",90s, sci-fi thriller
39,Strange Days (1995),http://us.imdb.com/M/title-exact?Strange%20Days%20(1995),90s, action crime sci-fi
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","http://us.imdb.com/M/title-exact?To%20Wong%20Foo,%20Thanks%20for%20Everything!%20Julie%20Newmar%20(1995)",90s, comedy
41,Billy Madison (1995),http://us.imdb.com/M/title-exact?Billy%20Madison%20(1995),90s, comedy
42,Clerks (1994),http://us.imdb.com/M/title-exact?Clerks%20(1994),90s, comedy
43,Disclosure (1994),http://us.imdb.com/M/title-exact?Disclosure%20(1994),90s, drama thriller
44,Dolores Claiborne (1994),http://us.imdb.com/M/title-exact?Dolores%20Claiborne%20(1994),90s, drama thriller
45,Eat Drink Man Woman (1994),http://us.imdb.com/M/title-exact?Yinshi%20Nan%20Nu%20(1994),90s, comedy drama
46,Exotica (1994),http://us.imdb.com/M/title-exact?Exotica%20(1994),90s, drama
47,Ed Wood (1994),http://us.imdb.com/M/title-exact?Ed%20Wood%20(1994),90s, comedy drama
48,Hoop Dreams (1994),http://us.imdb.com/M/title-exact?Hoop%20Dreams%20(1994),90s, documentary
49,I.Q. (1994),http://us.imdb.com/M/title-exact?I.Q.%20(1994),90s, comedy romance
50,Star Wars (1977),http://us.imdb.com/M/title-exact?Star%20Wars%20(1977),70s, action adventure romance sci-fi war
51,Legends of the Fall (1994),http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20(1994),90s, drama romance war western
52,"Madness of King George, The (1994)","http://us.imdb.com/M/title-exact?Madness%20of%20King%20George,%20The%20(1994)",90s, drama
53,Natural Born Killers (1994),http://us.imdb.com/M/title-exact?Natural%20Born%20Killers%20(1994),90s, action thriller
54,Outbreak (1995),http://us.imdb.com/M/title-exact?Outbreak%20(1995),90s, action drama thriller
55,"Professional, The (1994)",http://us.imdb.com/Title?L%E9on+(1994),90s, crime drama romance thriller
56,Pulp Fiction (1994),http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),90s, crime drama
57,Priest (1994),http://us.imdb.com/M/title-exact?Priest%20(1994),90s, drama
58,Quiz Show (1994),http://us.imdb.com/M/title-exact?Quiz%20Show%20(1994),90s, drama
59,Three Colors: Red (1994),http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Czerwony%20(1994),90s, drama
60,Three Colors: Blue (1993),http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Niebieski%20(1993),90s, drama
61,Three Colors: White (1994),http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Bialy%20(1994),90s, drama
62,Stargate (1994),http://us.imdb.com/M/title-exact?Stargate%20(1994),90s, action adventure sci-fi
63,"Santa Clause, The (1994)","http://us.imdb.com/M/title-exact?Santa%20Clause,%20The%20(1994)",90s, childrens comedy
64,"Shawshank Redemption, The (1994)","http://us.imdb.com/M/title-exact?Shawshank%20Redemption,%20The%20(1994)",90s, drama
65,What's Eating Gilbert Grape (1993),http://us.imdb.com/M/title-exact?What's%20Eating%20Gilbert%20Grape%20(1993),90s, comedy drama
66,While You Were Sleeping (1995),http://us.imdb.com/M/title-exact?While%20You%20Were%20Sleeping%20(1995),90s, comedy romance
67,Ace Ventura: Pet Detective (1994),http://us.imdb.com/M/title-exact?Ace%20Ventura:%20Pet%20Detective%20(1994),90s, comedy
68,"Crow, The (1994)","http://us.imdb.com/M/title-exact?Crow,%20The%20(1994)",90s, action romance thriller
69,Forrest Gump (1994),http://us.imdb.com/M/title-exact?Forrest%20Gump%20(1994),90s, comedy romance war
70,Four Weddings and a Funeral (1994),http://us.imdb.com/M/title-exact?Four%20Weddings%20and%20a%20Funeral%20(1994),90s, comedy romance
71,"Lion King, The (1994)","http://us.imdb.com/M/title-exact?Lion%20King,%20The%20(1994)",90s, animation childrens musical
72,"Mask, The (1994)","http://us.imdb.com/M/title-exact?Mask,%20The%20(1994)",90s, comedy crime fantasy
73,Maverick (1994),http://us.imdb.com/M/title-exact?Maverick%20(1994),90s, action comedy western
74,Faster Pussycat! Kill! Kill! (1965),http://us.imdb.com/M/title-exact?Faster%20Pussycat!%20Kill!%20Kill!%20(1965),60s, action comedy drama
75,Brother Minister: The Assassination of Malcolm X (1994),http://us.imdb.com/M/title-exact?Brother%20Minister:%20The%20Assassination%20of%20Malcolm%20X%20(1994),90s, documentary
76,Carlito's Way (1993),http://us.imdb.com/M/title-exact?Carlito's%20Way%20(1993),90s, crime drama
77,"Firm, The (1993)","http://us.imdb.com/M/title-exact?Firm,%20The%20(1993)",90s, drama thriller
78,Free Willy (1993),http://us.imdb.com/M/title-exact?Free%20Willy%20(1993),90s, adventure childrens drama
79,"Fugitive, The (1993)","http://us.imdb.com/M/title-exact?Fugitive,%20The%20(1993)",90s, action thriller
80,Hot Shots! Part Deux (1993),http://us.imdb.com/M/title-exact?Hot%20Shots!%20Part%20Deux%20(1993),90s, action comedy war
81,"Hudsucker Proxy, The (1994)","http://us.imdb.com/M/title-exact?Hudsucker%20Proxy,%20The%20(1994)",90s, comedy romance
82,Jurassic Park (1993),http://us.imdb.com/M/title-exact?Jurassic%20Park%20(1993),90s, action adventure sci-fi
83,Much Ado About Nothing (1993),http://us.imdb.com/M/title-exact?Much%20Ado%20About%20Nothing%20(1993),90s, comedy romance
84,Robert A. Heinlein's The Puppet Masters (1994),http://us.imdb.com/M/title-exact?Robert%20A.%20Heinlein's%20The%20Puppet%20Masters%20(1994),90s, horror sci-fi
85,"Ref, The (1994)","http://us.imdb.com/M/title-exact?Ref,%20The%20(1994)",90s, comedy
86,"Remains of the Day, The (1993)","http://us.imdb.com/M/title-exact?Remains%20of%20the%20Day,%20The%20(1993)",90s, drama
87,Searching for Bobby Fischer (1993),http://us.imdb.com/M/title-exact?Searching%20for%20Bobby%20Fischer%20(1993),90s, drama
88,Sleepless in Seattle (1993),http://us.imdb.com/M/title-exact?Sleepless%20in%20Seattle%20(1993),90s, comedy romance
89,Blade Runner (1982),http://us.imdb.com/M/title-exact?Blade%20Runner%20(1982),80s, film_noir sci-fi
90,So I Married an Axe Murderer (1993),http://us.imdb.com/M/title-exact?So%20I%20Married%20an%20Axe%20Murderer%20(1993),90s, comedy romance thriller
91,"Nightmare Before Christmas, The (1993)","http://us.imdb.com/M/title-exact?Nightmare%20Before%20Christmas,%20The%20(1993)",90s, childrens comedy musical
92,True Romance (1993),http://us.imdb.com/M/title-exact?True%20Romance%20(1993),90s, action crime romance
93,Welcome to the Dollhouse (1995),http://us.imdb.com/Title?Welcome+to+the+Dollhouse+(1995),90s, comedy drama
94,Home Alone (1990),http://us.imdb.com/M/title-exact?Home%20Alone%20(1990),90s, childrens comedy
95,Aladdin (1992),http://us.imdb.com/M/title-exact?Aladdin%20(1992),90s, animation childrens comedy musical
96,Terminator 2: Judgment Day (1991),http://us.imdb.com/M/title-exact?Terminator%202:%20Judgment%20Day%20(1991),90s, action sci-fi thriller
97,Dances with Wolves (1990),http://us.imdb.com/M/title-exact?Dances%20with%20Wolves%20(1990),90s, adventure drama western
98,"Silence of the Lambs, The (1991)","http://us.imdb.com/M/title-exact?Silence%20of%20the%20Lambs,%20The%20(1991)",90s, drama thriller
99,Snow White and the Seven Dwarfs (1937),http://us.imdb.com/M/title-exact?Snow%20White%20and%20the%20Seven%20Dwarfs%20(1937),30s, animation childrens musical
100,Fargo (1996),http://us.imdb.com/M/title-exact?Fargo%20(1996),90s, crime drama thriller
101,Heavy Metal (1981),http://us.imdb.com/M/title-exact?Heavy%20Metal%20(1981),80s, action adventure animation horror sci-fi
102,"Aristocats, The (1970)","http://us.imdb.com/M/title-exact?Aristocats,%20The%20(1970)",70s, animation childrens
103,All Dogs Go to Heaven 2 (1996),http://us.imdb.com/M/title-exact?All%20Dogs%20Go%20to%20Heaven%202%20(1996),90s, animation childrens musical
104,Theodore Rex (1995),http://us.imdb.com/M/title-exact?Theodore%20Rex%20(1995),90s, comedy
105,Sgt. Bilko (1996),http://us.imdb.com/M/title-exact?Sgt.%20Bilko%20(1996),90s, comedy
106,Diabolique (1996),http://us.imdb.com/M/title-exact?Diabolique%20(1996),90s, drama thriller
107,Moll Flanders (1996),http://us.imdb.com/M/title-exact?Moll%20Flanders%20(1996),90s, drama
108,Kids in the Hall: Brain Candy (1996),http://us.imdb.com/M/title-exact?Kids%20in%20the%20Hall:%20Brain%20Candy%20(1996),90s, comedy
109,Mystery Science Theater 3000: The Movie (1996),http://us.imdb.com/M/title-exact?Mystery%20Science%20Theater%203000:%20The%20Movie%20(1996),90s, comedy sci-fi
110,Operation Dumbo Drop (1995),http://us.imdb.com/M/title-exact?Operation%20Dumbo%20Drop%20(1995),90s, action adventure comedy war
111,"Truth About Cats & Dogs, The (1996)","http://us.imdb.com/M/title-exact?Truth%20About%20Cats%20&%20Dogs,%20The%20(1996)",90s, comedy romance
112,Flipper (1996),http://us.imdb.com/M/title-exact?Flipper%20(1996),90s, adventure childrens
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)","http://us.imdb.com/M/title-exact?Hussard%20sur%20le%20toit,%20Le%20(1995)",90s, drama
114,Wallace & Gromit: The Best of Aardman Animation (1996),http://us.imdb.com/Title?Wallace+%26+Gromit%3A+The+Best+of+Aardman+Animation+(1996),90s, animation
115,"Haunted World of Edward D. Wood Jr., The (1995)","http://us.imdb.com/Title?Haunted+World+of+Edward+D.+Wood+Jr.,+The+(1995)",90s, documentary
116,Cold Comfort Farm (1995),http://us.imdb.com/M/title-exact?Cold%20Comfort%20Farm%20(1995)%20(TV),90s, comedy
117,"Rock, The (1996)","http://us.imdb.com/M/title-exact?Rock,%20The%20(1996)",90s, action adventure thriller
118,Twister (1996),http://us.imdb.com/M/title-exact?Twister%20(1996),90s, action adventure thriller
119,Maya Lin: A Strong Clear Vision (1994),http://us.imdb.com/M/title-exact?Maya%20Lin:%20A%20Strong%20Clear%20Vision%20(1994),90s, documentary
120,Striptease (1996),http://us.imdb.com/M/title-exact?Striptease%20(1996),90s, comedy crime
121,Independence Day (ID4) (1996),http://us.imdb.com/M/title-exact?Independence%20Day%20(1996),90s, action sci-fi war
122,"Cable Guy, The (1996)","http://us.imdb.com/M/title-exact?Cable%20Guy,%20The%20(1996)",90s, comedy
123,"Frighteners, The (1996)","http://us.imdb.com/M/title-exact?Frighteners,%20The%20(1996)",90s, comedy horror
124,Lone Star (1996),http://us.imdb.com/M/title-exact?Lone%20Star%20(1996),90s, drama mystery
125,Phenomenon (1996),http://us.imdb.com/M/title-exact?Phenomenon%20(1996),90s, drama romance
126,"Spitfire Grill, The (1996)","http://us.imdb.com/M/title-exact?Spitfire%20Grill,%20The%20(1996)",90s, drama
127,"Godfather, The (1972)","http://us.imdb.com/M/title-exact?Godfather,%20The%20(1972)",70s, action crime drama
128,Supercop (1992),http://us.imdb.com/M/title-exact?Police%20Story%20III:%20Supercop%20(1992),90s, action thriller
129,Bound (1996),http://us.imdb.com/M/title-exact?Bound%20(1996),90s, crime drama romance thriller
130,Kansas City (1996),http://us.imdb.com/M/title-exact?Kansas%20City%20(1996),90s, crime
131,Breakfast at Tiffany's (1961),http://us.imdb.com/M/title-exact?Breakfast%20at%20Tiffany's%20(1961),60s, drama romance
132,"Wizard of Oz, The (1939)","http://us.imdb.com/M/title-exact?Wizard%20of%20Oz,%20The%20(1939)",30s, adventure childrens drama musical
133,Gone with the Wind (1939),http://us.imdb.com/M/title-exact?Gone%20with%20the%20Wind%20(1939),30s, drama romance war
134,Citizen Kane (1941),http://us.imdb.com/M/title-exact?Citizen%20Kane%20(1941),40s, drama
135,2001: A Space Odyssey (1968),http://us.imdb.com/M/title-exact?2001:%20A%20Space%20Odyssey%20(1968),60s, drama mystery sci-fi thriller
136,Mr. Smith Goes to Washington (1939),http://us.imdb.com/M/title-exact?Mr.%20Smith%20Goes%20to%20Washington%20(1939),30s, drama
137,Big Night (1996),http://us.imdb.com/M/title-exact?Big%20Night%20(1996),90s, drama
138,D3: The Mighty Ducks (1996),http://us.imdb.com/M/title-exact?D3:%20The%20Mighty%20Ducks%20(1996),90s, childrens comedy
139,"Love Bug, The (1969)","http://us.imdb.com/M/title-exact?Love%20Bug,%20The%20(1969)",60s, childrens comedy
140,Homeward Bound: The Incredible Journey (1993),http://us.imdb.com/M/title-exact?Homeward%20Bound:%20The%20Incredible%20Journey%20(1993),90s, adventure childrens
141,"20,000 Leagues Under the Sea (1954)","http://us.imdb.com/M/title-exact?20,000%20Leagues%20Under%20the%20Sea%20(1954)",50s, adventure childrens fantasy sci-fi
142,Bedknobs and Broomsticks (1971),http://us.imdb.com/M/title-exact?Bedknobs%20and%20Broomsticks%20(1971),70s, adventure childrens musical
143,"Sound of Music, The (1965)","http://us.imdb.com/M/title-exact?Sound%20of%20Music,%20The%20(1965)",60s, musical
144,Die Hard (1988),http://us.imdb.com/M/title-exact?Die%20Hard%20(1988),80s, action thriller
145,"Lawnmower Man, The (1992)","http://us.imdb.com/M/title-exact?Lawnmower%20Man,%20The%20(1992)",90s, action sci-fi thriller
146,Unhook the Stars (1996),http://us.imdb.com/M/title-exact?Unhook%20the%20Stars%20(1996),90s, drama
147,"Long Kiss Goodnight, The (1996)","http://us.imdb.com/M/title-exact?Long%20Kiss%20Goodnight,%20The%20(1996)",90s, action thriller
148,"Ghost and the Darkness, The (1996)","http://us.imdb.com/M/title-exact?Ghost%20and%20the%20Darkness,%20The%20(1996)",90s, action adventure
149,Jude (1996),http://us.imdb.com/M/title-exact?Jude%20(1996),90s, drama
150,Swingers (1996),http://us.imdb.com/M/title-exact?Swingers%20(1996),90s, comedy drama
151,Willy Wonka and the Chocolate Factory (1971),http://us.imdb.com/M/title-exact?Willy%20Wonka%20and%20the%20Chocolate%20Factory%20(1971),70s, adventure childrens comedy
152,Sleeper (1973),http://us.imdb.com/M/title-exact?Sleeper%20(1973),70s, comedy sci-fi
153,"Fish Called Wanda, A (1988)","http://us.imdb.com/M/title-exact?Fish%20Called%20Wanda,%20A%20(1988)",80s, comedy
154,Monty Python's Life of Brian (1979),http://us.imdb.com/M/title-exact?Life%20of%20Brian%20(1979),70s, comedy
155,Dirty Dancing (1987),http://us.imdb.com/M/title-exact?Dirty%20Dancing%20(1987),80s, musical romance
156,Reservoir Dogs (1992),http://us.imdb.com/M/title-exact?Reservoir%20Dogs%20(1992),90s, crime thriller
157,Platoon (1986),http://us.imdb.com/M/title-exact?Platoon%20(1986),80s, drama war
158,Weekend at Bernie's (1989),http://us.imdb.com/M/title-exact?Weekend%20at%20Bernie's%20(1989),80s, comedy
159,Basic Instinct (1992),http://us.imdb.com/M/title-exact?Basic%20Instinct%20(1992),90s, mystery thriller
160,Glengarry Glen Ross (1992),http://us.imdb.com/M/title-exact?Glengarry%20Glen%20Ross%20(1992),90s, drama
161,Top Gun (1986),http://us.imdb.com/M/title-exact?Top%20Gun%20(1986),80s, action romance
162,On Golden Pond (1981),http://us.imdb.com/M/title-exact?On%20Golden%20Pond%20(1981),80s, drama
163,"Return of the Pink Panther, The (1974)","http://us.imdb.com/M/title-exact?Return%20of%20the%20Pink%20Panther,%20The%20(1974)",70s, comedy
164,"Abyss, The (1989)","http://us.imdb.com/M/title-exact?Abyss,%20The%20(1989)",80s, action adventure sci-fi thriller
165,Jean de Florette (1986),http://us.imdb.com/M/title-exact?Jean%20de%20Florette%20(1986),80s, drama
166,Manon of the Spring (Manon des sources) (1986),http://us.imdb.com/M/title-exact?Manon%20des%20sources%20(1986),80s, drama
167,Private Benjamin (1980),http://us.imdb.com/M/title-exact?Private%20Benjamin%20(1980),80s, comedy
168,Monty Python and the Holy Grail (1974),http://us.imdb.com/M/title-exact?Monty%20Python%20and%20the%20Holy%20Grail%20(1974),70s, comedy
169,"Wrong Trousers, The (1993)","http://us.imdb.com/M/title-exact?Wrong%20Trousers,%20The%20(1993)",90s, animation comedy
170,Cinema Paradiso (1988),http://us.imdb.com/M/title-exact?Nuovo%20cinema%20Paradiso%20(1988),80s, comedy drama romance
171,Delicatessen (1991),http://us.imdb.com/M/title-exact?Delicatessen%20(1991),90s, comedy sci-fi
172,"Empire Strikes Back, The (1980)","http://us.imdb.com/M/title-exact?Empire%20Strikes%20Back,%20The%20(1980)",80s, action adventure drama romance sci-fi war
173,"Princess Bride, The (1987)","http://us.imdb.com/M/title-exact?Princess%20Bride,%20The%20(1987)",80s, action adventure comedy romance
174,Raiders of the Lost Ark (1981),http://us.imdb.com/M/title-exact?Raiders%20of%20the%20Lost%20Ark%20(1981),80s, action adventure
175,Brazil (1985),http://us.imdb.com/M/title-exact?Brazil%20(1985),80s, sci-fi
176,Aliens (1986),http://us.imdb.com/M/title-exact?Aliens%20(1986),80s, action sci-fi thriller war
177,"Good, The Bad and The Ugly, The (1966)","http://us.imdb.com/M/title-exact?Buono,%20il%20brutto,%20il%20cattivo,%20Il%20(1966)",60s, action western
178,12 Angry Men (1957),http://us.imdb.com/M/title-exact?12%20Angry%20Men%20(1957),50s, drama
179,"Clockwork Orange, A (1971)","http://us.imdb.com/M/title-exact?Clockwork%20Orange,%20A%20(1971)",70s, sci-fi
180,Apocalypse Now (1979),http://us.imdb.com/M/title-exact?Apocalypse%20Now%20(1979),70s, drama war
181,Return of the Jedi (1983),http://us.imdb.com/M/title-exact?Return%20of%20the%20Jedi%20(1983),90s, action adventure romance sci-fi war
182,GoodFellas (1990),http://us.imdb.com/M/title-exact?GoodFellas%20(1990),90s, crime drama
183,Alien (1979),http://us.imdb.com/M/title-exact?Alien%20(1979),70s, action horror sci-fi thriller
184,Army of Darkness (1993),http://us.imdb.com/M/title-exact?Army%20of%20Darkness%20(1993),90s, action adventure comedy horror sci-fi
185,Psycho (1960),http://us.imdb.com/M/title-exact?Psycho%20(1960),60s, horror romance thriller
186,"Blues Brothers, The (1980)","http://us.imdb.com/M/title-exact?Blues%20Brothers,%20The%20(1980)",80s, action comedy musical
187,"Godfather: Part II, The (1974)","http://us.imdb.com/M/title-exact?Godfather:%20Part%20II,%20The%20(1974)",70s, action crime drama
188,Full Metal Jacket (1987),http://us.imdb.com/M/title-exact?Full%20Metal%20Jacket%20(1987),80s, action drama war
189,"Grand Day Out, A (1992)","http://us.imdb.com/M/title-exact?Grand%20Day%20Out,%20A%20(1992)",90s, animation comedy
190,Henry V (1989),http://us.imdb.com/M/title-exact?Henry%20V%20(1989),80s, drama war
191,Amadeus (1984),http://us.imdb.com/M/title-exact?Amadeus%20(1984),80s, drama mystery
192,Raging Bull (1980),http://us.imdb.com/M/title-exact?Raging%20Bull%20(1980),80s, drama
193,"Right Stuff, The (1983)","http://us.imdb.com/M/title-exact?Right%20Stuff,%20The%20(1983)",80s, drama
194,"Sting, The (1973)","http://us.imdb.com/M/title-exact?Sting,%20The%20(1973)",70s, comedy crime
195,"Terminator, The (1984)","http://us.imdb.com/M/title-exact?Terminator,%20The%20(1984)",80s, action sci-fi thriller
196,Dead Poets Society (1989),http://us.imdb.com/M/title-exact?Dead%20Poets%20Society%20(1989),80s, drama
197,"Graduate, The (1967)","http://us.imdb.com/M/title-exact?Graduate,%20The%20(1967)",60s, drama romance
198,Nikita (La Femme Nikita) (1990),http://us.imdb.com/M/title-exact?Nikita%20(1990),90s, thriller
199,"Bridge on the River Kwai, The (1957)","http://us.imdb.com/M/title-exact?Bridge%20on%20the%20River%20Kwai,%20The%20(1957)",50s, drama war
200,"Shining, The (1980)","http://us.imdb.com/M/title-exact?Shining,%20The%20(1980)",80s, horror
201,Evil Dead II (1987),http://us.imdb.com/M/title-exact?Evil%20Dead%20II%20(1987),80s, action adventure comedy horror
202,Groundhog Day (1993),http://us.imdb.com/M/title-exact?Groundhog%20Day%20(1993),90s, comedy romance
203,Unforgiven (1992),http://us.imdb.com/M/title-exact?Unforgiven%20(1992),90s, western
204,Back to the Future (1985),http://us.imdb.com/M/title-exact?Back%20to%20the%20Future%20(1985),80s, comedy sci-fi
205,Patton (1970),http://us.imdb.com/M/title-exact?Patton%20(1970),70s, drama war
206,Akira (1988),http://us.imdb.com/M/title-exact?Akira%20(1988),80s, adventure animation sci-fi thriller
207,Cyrano de Bergerac (1990),http://us.imdb.com/M/title-exact?Cyrano%20de%20Bergerac%20(1990),90s, action drama romance
208,Young Frankenstein (1974),http://us.imdb.com/M/title-exact?Young%20Frankenstein%20(1974),70s, comedy horror
209,This Is Spinal Tap (1984),http://us.imdb.com/M/title-exact?This%20Is%20Spinal%20Tap%20(1984),80s, comedy drama musical
210,Indiana Jones and the Last Crusade (1989),http://us.imdb.com/M/title-exact?Indiana%20Jones%20and%20the%20Last%20Crusade%20(1989),80s, action adventure
211,M*A*S*H (1970),http://us.imdb.com/M/title-exact?MASH%20(1970),70s, comedy war
212,"Unbearable Lightness of Being, The (1988)","http://us.imdb.com/M/title-exact?Unbearable%20Lightness%20of%20Being,%20The%20(1988)",80s, drama
213,"Room with a View, A (1986)","http://us.imdb.com/M/title-exact?Room%20with%20a%20View,%20A%20(1986)",80s, drama romance
214,Pink Floyd - The Wall (1982),http://us.imdb.com/M/title-exact?Pink%20Floyd%20-%20The%20Wall%20(1982),80s, drama musical war
215,Field of Dreams (1989),http://us.imdb.com/M/title-exact?Field%20of%20Dreams%20(1989),80s, drama
216,When Harry Met Sally... (1989),http://us.imdb.com/M/title-exact?When%20Harry%20Met%20Sally...%20(1989),80s, comedy romance
217,Bram Stoker's Dracula (1992),http://us.imdb.com/M/title-exact?Bram%20Stoker's%20Dracula%20(1992),90s, horror romance
218,Cape Fear (1991),http://us.imdb.com/M/title-exact?Cape%20Fear%20(1991),90s, thriller
219,"Nightmare on Elm Street, A (1984)","http://us.imdb.com/M/title-exact?Nightmare%20on%20Elm%20Street,%20A%20(1984)",80s, horror
220,"Mirror Has Two Faces, The (1996)","http://us.imdb.com/M/title-exact?Mirror%20Has%20Two%20Faces,%20The%20(1996)",90s, comedy romance
221,Breaking the Waves (1996),http://us.imdb.com/M/title-exact?Breaking%20the%20Waves%20(1996),90s, drama
222,Star Trek: First Contact (1996),http://us.imdb.com/M/title-exact?Star%20Trek:%20First%20Contact%20(1996),90s, action adventure sci-fi
223,Sling Blade (1996),http://us.imdb.com/M/title-exact?Sling%20Blade%20(1996),90s, drama thriller
224,Ridicule (1996),http://us.imdb.com/M/title-exact?Ridicule%20(1996),90s, drama
225,101 Dalmatians (1996),http://us.imdb.com/M/title-exact?101%20Dalmatians%20(1996),90s, childrens comedy
226,Die Hard 2 (1990),http://us.imdb.com/M/title-exact?Die%20Hard%202%20(1990),90s, action thriller
227,Star Trek VI: The Undiscovered Country (1991),http://us.imdb.com/M/title-exact?Star%20Trek%20VI:%20The%20Undiscovered%20Country%20(1991),90s, action adventure sci-fi
228,Star Trek: The Wrath of Khan (1982),http://us.imdb.com/M/title-exact?Star%20Trek:%20The%20Wrath%20of%20Khan%20(1982),80s, action adventure sci-fi
229,Star Trek III: The Search for Spock (1984),http://us.imdb.com/M/title-exact?Star%20Trek%20III:%20The%20Search%20for%20Spock%20(1984),80s, action adventure sci-fi
230,Star Trek IV: The Voyage Home (1986),http://us.imdb.com/M/title-exact?Star%20Trek%20IV:%20The%20Voyage%20Home%20(1986),80s, action adventure sci-fi
231,Batman Returns (1992),http://us.imdb.com/M/title-exact?Batman%20Returns%20(1992),90s, action adventure comedy crime
232,Young Guns (1988),http://us.imdb.com/M/title-exact?Young%20Guns%20(1988),80s, action comedy western
233,Under Siege (1992),http://us.imdb.com/M/title-exact?Under%20Siege%20(1992),90s, action
234,Jaws (1975),http://us.imdb.com/M/title-exact?Jaws%20(1975),70s, action horror
