movie_id,movie_title,imdb_url,decade,genres,avg_rating,poster,cast,director,description,keyword
11,Seven (Se7en) (1995),http://us.imdb.com/M/title-exact?Se7en%20(1995),90s, crime thriller,3.8474576271186436,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,Morgan Freeman Somerset-Andrew Kevin Walker Dead Man at 1st Crime Scene (as Andy Walker)-Daniel Zacapa Detective Taylor at First Murder-Brad Pitt Mills-Gwyneth Paltrow Tracy-John Cassini Officer Davis-Bob Mack Gluttony Victim-Peter Crombie Dr. O'Neill-Reg E. Cathey Dr. Santiago,David Fincher,Two detectives,detective seven deadly sins serial murder murder
12,"Usual Suspects, The (1995)","http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)",90s, crime thriller,4.3857677902621734,https://i.imgur.com/9uJtEW6.jpg,Kaleb Koho Host-Paul Oyama Primetime-Lucas Schildbach The Boston Masshole-Dominic Rizzi The Movie Nerd-Jake Maringoni The Maestro,Kaleb Koho,The pool c finals arrive as The Usual Suspects (1-0) march into the finals following a victory over The Odd Couple and a forfeit from Truth About Chaos,No keyword found..
13,Mighty Aphrodite (1995),http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),90s, comedy,3.4184782608695654,https://m.media-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@..jpg,Pamela Blair Greek Chorus-Rene Ceballos Greek Chorus (as René Ceballos)-Elie Chaib Greek Chorus-George De La Pena Greek Chorus-Joanne DiMauro Greek Chorus-Denise Faye Greek Chorus-Marian Filali Greek Chorus (as Marianne Filali)-Angelo Fraboni Greek Chorus-Scott Fowler Greek Chorus,Woody Allen,When he discovers his adopted son is a genius,talking about sex husband wife relationship hot blind man
14,"Postino, Il (1994)","http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)",90s, drama romance,3.9672131147540974,https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@..jpg,Philippe Noiret Pablo Neruda-Massimo Troisi Mario Ruoppolo-Maria Grazia Cucinotta Beatrice Russo-Renato Scarpa Telegrapher-Linda Moretti Donna Rosa-Sergio Solli-Carlo Di Maio-Nando Neri-Vincenzo Di Sauro,Michael Radford,A simple Italian postman learns to love poetry while delivering mail to a famous poet,poetry island poet bicycle
15,Mr. Holland's Opus (1995),http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),90s, drama,3.778156996587031,https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@..jpg,Richard Dreyfuss Glenn Holland-Glenne Headly Iris Holland-Jay Thomas Bill Meister-Olympia Dukakis Principal Jacobs-William H. Macy Vice Principal Wolters (as W.H. Macy)-Alicia Witt Gertrude Lang-Terrence Howard Louis Russ-Damon Whitaker Bobby Tidd-Jean Louisa Kelly Rowena Morgan,Stephen Herek,A frustrated composer finds fulfillment as a high school music teacher.,high school 1990s deafness high school teacher
16,French Twist (Gazon maudit) (1995),http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),90s, comedy romance,3.2051282051282053,https://m.media-amazon.com/images/M/MV5BMWEwNWY1ZjQtYWMxYS00ZDY2LTg2Y2YtZDc5MTM4MzE0NTM4XkEyXkFqcGdeQXVyNDE5MTU2MDE@..jpg,"Victoria Abril Loli-Josiane Balasko Marijo-Alain Chabat Laurent Lafaye-Ticky Holgado Antoine-Catherine Hiegel Dany-Catherine Samie The Prostitute-Catherine Lachens Sopha, the Boss-Katrine Boorman Emily Crumble-Telsche Boorman Dorothy Crumble",Josiane Balasko,After learning of her husband's infidelities,lesbian strong female character polyamorous relationship pregnant lesbian
17,From Dusk Till Dawn (1996),http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),90s, action comedy crime horror thriller,3.1195652173913038,https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,George Clooney Seth Gecko-Quentin Tarantino Richard Gecko-Harvey Keitel Jacob Fuller-Juliette Lewis Kate Fuller-Ernest Liu Scott Fuller-Salma Hayek Santanico Pandemonium-Cheech Marin Border Guard /Chet Pussy /Carlos-Danny Trejo Razor Charlie-Tom Savini Sex Machine,Robert Rodriguez,Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires,vampire stripper rape victim pervert
18,"White Balloon, The (1995)",http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),90s, drama,2.8,https://m.media-amazon.com/images/M/MV5BN2QzOTY0MjAtMDQ4MC00MTQ3LWIxM2UtZjc5MzkxYjRhZjdjXkEyXkFqcGdeQXVyNjkxOTM4ODY@..jpg,Aida Mohammadkhani Razieh-Mohsen Kafili Ali-Fereshteh Sadre Orafaiy Mother-Anna Borkowska Old Lady-Mohammad Shahani Soldier-Mohammed Bakhtiar Tailor-Aliasghar Smadi Balloon Seller-Hamidreza Tahery Reza-Asghar Barzegar Pet Shop Manager,Jafar Panahi,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,little girl shopkeeper snake charmer new year's day
19,Antonia's Line (1995),http://us.imdb.com/M/title-exact?Antonia%20(1995),90s, drama,3.9565217391304346,https://m.media-amazon.com/images/M/MV5BNDVmNjdhMzEtNDMzMy00NzI0LWI1ZmUtNjJiNGEzMDExZDY5XkEyXkFqcGdeQXVyMjM5NDQzNTk@..jpg,Willeke van Ammelrooy Antonia-Els Dottermans Danielle-Dora van der Groen Allegonde-Veerle van Overloop Thérèse-Esther Vriesendorp Thérèse (13)-Carolien Spoor Thérèse (6)-Thyrza Ravesteijn Sarah-Mil Seghers Kromme Vinger (Crooked Finger)-Jan Decleir Boer Bas,Marleen Gorris,A Dutch matron establishes and,character name as title dutch strong female character strong female lead
20,Angels and Insects (1995),http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),90s, drama romance,3.4166666666666665,https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@..jpg,Mark Rylance William Adamson-Kristin Scott Thomas Matty Crompton-Patsy Kensit Eugenia Alabaster Adamson-Jeremy Kemp Sir Harald Alabaster-Douglas Henshall Edgar Alabaster-Annette Badland Lady Alabaster-Chris Larkin Robin-Anna Massey Miss Mead-Saskia Wickham Rowena Alabaster,Philip Haas,In the 1800s a naturalist marries into a family of British country gentry.,insect england bare chested male country life
21,Muppet Treasure Island (1996),http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),90s, action adventure comedy musical thriller,2.761904761904762,https://m.media-amazon.com/images/M/MV5BMTlmNzhiMWEtOWVjZC00NmM0LTgxNDItMDJmYTkxYTZkY2FjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@..jpg,Tim Curry Long John Silver-Billy Connolly Billy Bones-Jennifer Saunders Mrs. Bluveridge-Kevin Bishop Jim Hawkins-Dave Goelz The Great Gonzo /Dr. Bunsen Honeydew /Waldorf /Mudwell the Mudbunny /Zoot (voice)-Steve Whitmire Kermit the Frog /Rizzo the Rat /Beaker (voice)-Jerry Nelson Statler /Blind Pew /Mad Monty /Floyd Pepper /Lew Zealand /Tomato /Pirate /Skulls /Trelawney's Butler /Screaming Cat (voice)-Kevin Clash Bad Polly /Black Dog /Spa'am /Chicken /Miss Piggy (assistant) /Fozzie Bear (assistant) /Sam the Eagle (assistant) /Animal (assistant) /Walleyed Pike /Monkey /Pirate /Real Old Tom (voice)-Bill Barretta Clueless Morgan /Swedish Chef /Blind Pew (hands) /Pirate /Pig /Skulls (voice),Brian Henson,The Muppets' twist on the classic tale.,miss piggy character swedish chef character kermit the frog character profanity
22,Braveheart (1995),http://us.imdb.com/M/title-exact?Braveheart%20(1995),90s, action drama war,4.151515151515151,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@..jpg,James Robinson Young William-Sean Lawlor Malcolm Wallace-Sandy Nelson John Wallace-James Cosmo Campbell-Sean McGinley MacClannough-Alan Tall Elder Stewart-Andrew Weir Young Hamish-Gerda Stevenson Mother MacClannough-Ralph Riach Priest No. 1,Mel Gibson,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,revolt based on true story england legend
23,Taxi Driver (1976),http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),90s, drama thriller,4.12087912087912,https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@..jpg,Diahnne Abbott Concession Girl (as Diahnne Abbot)-Frank Adu Angry Black Man-Victor Argo Melio (as Vic Argo)-Gino Ardito Policeman at Rally-Garth Avery Iris' Friend-Peter Boyle Wizard-Albert Brooks Tom-Harry Cohn Cabbie in Bellmore-Copper Cunningham Hooker in Cab,Martin Scorsese,A mentally unstable veteran works as a nighttime taxi driver in New York City,child prostitution loner street life neo noir
24,Rumble in the Bronx (1995),http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995),90s, action adventure crime,3.4482758620689653,https://m.media-amazon.com/images/M/MV5BZTUxMzY1N2YtZjM5NC00MmUzLThkNzEtYjNiYzg0MzI4MDc5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg,Jackie Chan Keung-Anita Mui Elaine-Françoise Yip Nancy (as Francois Yip)-Bill Tung Uncle Bill-Marc Akerstream Tony-Garvin Cross Angelo-Morgan Lam Danny-Ailen Sit Tony's Gang Member-Man-Ching Chan Tony's Gang Member (as Chan Man Ching),Stanley Tong,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,coors light coast guard helicopter collapsing building
25,"Birdcage, The (1996)","http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)",90s, comedy,3.4436860068259385,https://m.media-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@..jpg,Robin Williams Armand Goldman-Gene Hackman Senator Keeley-Nathan Lane Albert-Dianne Wiest Louise Keeley-Dan Futterman Val Goldman-Calista Flockhart Barbara Keeley-Hank Azaria Agador-Christine Baranski Katharine-Tom McGowan Harry Radman,Mike Nichols,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,pretense sham united states of america united states
26,"Brothers McMullen, The (1995)","http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)",90s, comedy,3.4520547945205484,https://i.imgur.com/9uJtEW6.jpg,Roger Ebert Self - Host-Gene Siskel Self - Host,Roger Ebert,No Plot Found.,No keyword found..
27,Bad Boys (1995),http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995),90s, action,3.1052631578947367,https://m.media-amazon.com/images/M/MV5BMGE1ZTQ0ZTEtZTEwZS00NWE0LTlmMDUtMTE1ZWJiZTYzZTQ2XkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg,Lisa Boyle Girl Decoy-Michael Taliferro Carjacker-Emmanuel Xuereb Eddie Dominguez-Tchéky Karyo Fouchet (as Tcheky Karyo)-Marc Macaulay Noah Trafficante-Ralph Gonzalez Kuni-Vic Manni Ferguson-Frank John Hughes Casper-Mike Kirton Andy,Michael Bay,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,buddy movie criminal investigation murder investigation usa
28,Apollo 13 (1995),http://us.imdb.com/M/title-exact?Apollo%2013%20(1995),90s, action drama thriller,3.931159420289855,https://m.media-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,Tom Hanks Jim Lovell-Bill Paxton Fred Haise-Kevin Bacon Jack Swigert-Gary Sinise Ken Mattingly-Ed Harris Gene Kranz-Kathleen Quinlan Marilyn Lovell-Mary Kate Schellhardt Barbara Lovell-Emily Ann Lloyd Susan Lovell-Miko Hughes Jeffrey Lovell,Ron Howard,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,survival astronaut space mission rescue
29,Batman Forever (1995),http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995),90s, action adventure comedy crime,2.6666666666666665,https://m.media-amazon.com/images/M/MV5BNDdjYmFiYWEtYzBhZS00YTZkLWFlODgtY2I5MDE0NzZmMDljXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,Val Kilmer Batman /Bruce Wayne-Tommy Lee Jones Harvey Two-Face /Harvey Dent-Jim Carrey Riddler /Edward Nygma-Nicole Kidman Dr. Chase Meridian-Chris O'Donnell Robin /Dick Grayson-Michael Gough Alfred Pennyworth-Pat Hingle Commissioner Gordon-Drew Barrymore Sugar-Debi Mazar Spice,Joel Schumacher,Batman must battle former district attorney Harvey Dent,batman character alfred pennyworth character harvey dent character james gordon character
30,Belle de jour (1967),http://us.imdb.com/M/title-exact?Belle%20de%20jour%20(1967),60s, drama,3.9459459459459465,https://m.media-amazon.com/images/M/MV5BZjNkNGJjYWEtM2IyNi00ZjM5LWFlYjYtYjQ4NTU5MGFlMTI2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,Catherine Deneuve Séverine Serizy /Belle de Jour-Jean Sorel Pierre Serizy-Michel Piccoli Henri Husson-Geneviève Page Madame Anais-Pierre Clémenti Marcel (as Pierre Clementi)-Françoise Fabian Charlotte-Macha Méril Renee (as Macha Meril)-Muni Pallas-Maria Latour Mathilde,Luis Buñuel,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,prostitute wife marriage brothel madam double life
31,Crimson Tide (1995),http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995),90s, drama thriller war,3.6298701298701297,https://m.media-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg,Denzel Washington Hunter-Gene Hackman Ramsey-Matt Craven Zimmer-George Dzundza Cob-Viggo Mortensen Weps-James Gandolfini Lt. Bobby Dougherty-Rocky Carroll Lt. Westergaurd-Jaime Gomez Ood Mahoney (as Jaime P. Gomez)-Michael Milhoan Hunsicker,Tony Scott,On a U.S. nuclear missile sub,u.s. navy 1990s submarine captain naval base
32,Crumb (1994),http://us.imdb.com/M/title-exact?Crumb%20(1994),90s, documentary,3.7901234567901234,https://m.media-amazon.com/images/M/MV5BYTViMDM5YjktMDhjNy00MjZjLTg2ODctOGI3MzkzYWNiODA0XkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg,Robert Crumb Self-Aline Kominsky-Crumb Self (as Aline Crumb)-Charles Crumb Self-Maxon Crumb Self-Robert Hughes Self-Martin Muller Self-Don Donahue Self-Dana Morgan Self (as Dana Crumb)-Trina Robbins Self,Terry Zwigoff,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,cartoonist underground comic psychotronic film art
33,Desperado (1995),http://us.imdb.com/M/title-exact?Desperado%20(1995),90s, action romance thriller,3.453608247422681,https://m.media-amazon.com/images/M/MV5BYjA0NDMyYTgtMDgxOC00NGE0LWJkOTQtNDRjMjEzZmU0ZTQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,Antonio Banderas El Mariachi-Salma Hayek Carolina-Joaquim de Almeida Bucho-Cheech Marin Short Bartender-Steve Buscemi Buscemi-Carlos Gómez Right Hand (as Carlos Gomez)-Quentin Tarantino Pick-up Guy-Tito Larriva Tavo-Angel Aviles Zamira,Robert Rodriguez,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,mexican one against many lone wolf musician
34,"Doom Generation, The (1995)","http://us.imdb.com/M/title-exact?Doom%20Generation,%20The%20(1995)",90s, comedy drama,2.7142857142857144,https://m.media-amazon.com/images/M/MV5BYjEwZDUyODktOGVmOC00ZjIyLTlmM2YtZDZjY2Y2ZWE4ZjMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,James Duval Jordan White-Rose McGowan Amy Blue-Johnathon Schaech Xavier Red-Cress Williams Peanut-Skinny Puppy Gang of Goons-Dustin Nguyen Quickiemart Clerk-Margaret Cho Clerk's Wife-Lauren Tewes TV Anchorwoman-Christopher Knight TV Anchorman,Gregg Araki,Jordan White and Amy Blue,pubic hair fellatio threesome woman in bathtub
35,Free Willy 2: The Adventure Home (1995),http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20(1995),90s, adventure childrens drama,2.1818181818181817,https://m.media-amazon.com/images/M/MV5BZmZlNDBmMzctNmJiOC00YWZkLTk4MzYtOTU4NzZkMmUxMDRjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@..jpg,Jason James Richter Jesse-Francis Capra Elvis-Mary Kate Schellhardt Nadine-August Schellenberg Randolph-Michael Madsen Glenn-Jayne Atkinson Annie-Mykelti Williamson Dwight-Elizabeth Peña Kate Haley-Jon Tenney John Milner,Dwight H. Little,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,boy oil tanker oil spill killer whale
36,Mad Love (1995),http://us.imdb.com/M/title-exact?Mad%20Love%20(1995),90s, drama romance,2.1538461538461537,https://m.media-amazon.com/images/M/MV5BOThlOGJjYWEtMGFmOS00ZjBlLWIwZmUtNzdlNjIxNTU2NDcwL2ltYWdlXkEyXkFqcGdeQXVyNjg4NzYzMzA@..jpg,Chris O'Donnell Matt Leland-Drew Barrymore Casey Roberts-Matthew Lillard Eric-Richard Chaim Duncan-Robert Nadir Coach-Joan Allen Margaret Roberts-Jude Ciccolella Richard Roberts-Amy Sakasitz Joanna Leland-T.J. Lowther Adam Leland,Antonia Bird,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,brief female frontal nudity attempted suicide voyeur love
37,Nadja (1994),http://us.imdb.com/M/title-exact?Nadja%20(1994),90s, drama,2.25,https://m.media-amazon.com/images/M/MV5BMTk2NTE5MDI4MV5BMl5BanBnXkFtZTcwODM4MDMzMQ@@..jpg,Elina Löwensohn Nadja-Nic Ratner Bar Victim-Karl Geary Renfield-Peter Fonda Dracula /Dr. Van Helsing-Martin Donovan Jim-Jack Lotz Boxing Coach-Galaxy Craze Lucy-David Lynch Morgue Receptionist-Isabel Gillies Waitress,Michael Almereyda,This ultra-hip,female vampire boxing practice morgue uncle nephew relationship
38,"Net, The (1995)","http://us.imdb.com/M/title-exact?Net,%20The%20(1995)",90s, sci-fi thriller,3.0083333333333333,https://m.media-amazon.com/images/M/MV5BZTg5YmM5NzktN2Q0OS00YzE1LThkOTktNTE1NTJkZmExNmIxXkEyXkFqcGdeQXVyNDAxNjkxNjQ@..jpg,Sandra Bullock Angela Bennett-Jeremy Northam Jack Devlin-Dennis Miller Dr. Alan Champion-Diane Baker Mrs. Bennett-Wendy Gazelle Imposter-Ken Howard Bergstrom-Ray McKinnon Dale-Daniel Schorr WNN Anchor-L. Scott Caldwell Public Defender,Irwin Winkler,A computer programmer stumbles upon a conspiracy,identity identity theft computer hacker chat room
39,Strange Days (1995),http://us.imdb.com/M/title-exact?Strange%20Days%20(1995),90s, action crime sci-fi,3.2643678160919536,https://m.media-amazon.com/images/M/MV5BODFkMTBmNjktMjM1Yy00MjY5LTliMGEtM2FhYjE2YjRmN2RkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@..jpg,Ralph Fiennes Lenny Nero-Angela Bassett Lornette 'Mace' Mason-Juliette Lewis Faith Justin-Tom Sizemore Max Peltier-Michael Wincott Philo Gant-Vincent D'Onofrio Burton Steckler-Glenn Plummer Jeriko One-Brigitte Bako Iris-Richard Edson Tick,Kathryn Bigelow,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,virtual reality murder rape year 1999
